Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,GBPCHF00H= CHT,GBPCHF08H= CHT,GBPCHF16H= CHT,Date
10-May-21,1.2667,1.267,1.2672,1.2597,1.2636,9862,0.0065,0.52%,1.2641,1.268,1.2716,5/10/2021
7-May-21,1.2602,1.2607,1.265,1.2579,1.2598,41677,0.001,0.08%,1.261,1.2644,1.2612,5/7/2021
6-May-21,1.2592,1.2597,1.271,1.2589,1.2693,45089,-0.0099,-0.78%,1.2697,1.2668,1.2624,5/6/2021
5-May-21,1.2691,1.2696,1.2736,1.267,1.2689,36846,0.0004,0.03%,1.2688,1.2729,1.27,5/5/2021
4-May-21,1.2687,1.2692,1.2714,1.2621,1.2668,43520,0.0025,0.20%,1.2671,1.268,1.2672,5/4/2021
3-May-21,1.2662,1.2692,1.2693,1.2599,1.2634,34024,0.0041,0.32%,1.2615,1.2637,1.2682,5/3/2021
30-Apr-21,1.2621,1.2626,1.2683,1.2603,1.267,43453,-0.0047,-0.37%,1.2678,1.2644,1.2628,4/30/2021
29-Apr-21,1.2668,1.2673,1.2724,1.266,1.2676,41502,-0.0008,-0.06%,1.2682,1.2715,1.2697,4/29/2021
28-Apr-21,1.2676,1.2681,1.2734,1.2663,1.2708,43269,-0.0029,-0.23%,1.2707,1.2702,1.2695,4/28/2021
27-Apr-21,1.2705,1.271,1.2736,1.2681,1.2708,38899,-0.0003,-0.02%,1.2708,1.2718,1.2703,4/27/2021
26-Apr-21,1.2708,1.2713,1.2735,1.2664,1.2684,39775,0.0032,0.25%,1.267,1.2716,1.2703,4/26/2021
23-Apr-21,1.2676,1.2681,1.2731,1.2664,1.2689,39679,-0.0016,-0.13%,1.2691,1.2722,1.2669,4/23/2021
22-Apr-21,1.2692,1.2697,1.278,1.2673,1.2759,42208,-0.0078,-0.61%,1.2769,1.2738,1.2715,4/22/2021
21-Apr-21,1.277,1.2775,1.2799,1.2743,1.2767,38320,0.0004,0.03%,1.2767,1.2785,1.2771,4/21/2021
20-Apr-21,1.2766,1.2771,1.2817,1.2741,1.2788,42105,-0.0024,-0.19%,1.2801,1.2788,1.2761,4/20/2021
19-Apr-21,1.279,1.2795,1.2811,1.2679,1.2711,42045,0.0063,0.50%,1.272,1.2715,1.2794,4/19/2021
16-Apr-21,1.2727,1.2732,1.2737,1.2622,1.2725,39750,0.0002,0.02%,1.2707,1.2627,1.2714,4/16/2021
15-Apr-21,1.2725,1.273,1.2749,1.269,1.2715,40210,0.0017,0.13%,1.2713,1.2727,1.2713,4/15/2021
14-Apr-21,1.2708,1.2713,1.2733,1.2649,1.2655,39681,0.0049,0.39%,1.2662,1.2686,1.2724,4/14/2021
13-Apr-21,1.2659,1.2664,1.2743,1.2624,1.2687,42984,-0.0018,-0.14%,1.2686,1.2712,1.266,4/13/2021
12-Apr-21,1.2677,1.2682,1.2721,1.266,1.2694,40592,0.0009,0.07%,1.2688,1.2699,1.2679,4/12/2021
9-Apr-21,1.2668,1.2673,1.2733,1.2639,1.2702,40554,-0.0026,-0.20%,1.2692,1.2673,1.27,4/9/2021
8-Apr-21,1.2694,1.2699,1.2795,1.2681,1.2765,40080,-0.0071,-0.56%,1.2771,1.2774,1.2706,4/8/2021
7-Apr-21,1.2765,1.2784,1.2883,1.274,1.2868,44858,-0.0102,-0.79%,1.2873,1.2839,1.2756,4/7/2021
6-Apr-21,1.2867,1.2872,1.3045,1.2857,1.3015,44134,-0.0146,-1.12%,1.3022,1.3003,1.2911,4/6/2021
5-Apr-21,1.3013,1.3018,1.3073,1.2997,1.3036,36240,-0.002,-0.15%,1.3029,1.305,1.3013,4/5/2021
2-Apr-21,1.3033,1.3038,1.3042,1.3001,1.302,28195,0.0005,0.04%,1.3033,1.3025,1.3017,4/2/2021
