Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,GBPJPY00H= CHT,GBPJPY08H= CHT,GBPJPY16H= CHT,Date
10-May-21,152.85,152.9,152.95,151.83,151.83,12878,0.91,0.60%,152.42,153.3,153.82,5/10/2021
7-May-21,151.94,151.99,152.11,151.23,151.49,50094,0.45,0.30%,151.52,151.94,151.91,5/7/2021
6-May-21,151.49,151.54,152.12,151.21,151.8,49986,-0.31,-0.20%,151.89,152.01,151.5,5/6/2021
5-May-21,151.8,151.85,152.22,151.67,151.87,40177,-0.03,-0.02%,151.83,151.96,152,5/5/2021
4-May-21,151.83,151.88,152.05,150.98,151.71,46113,0.12,0.08%,151.66,151.69,151.67,5/4/2021
3-May-21,151.71,151.76,151.93,150.9,150.92,35823,0.73,0.48%,151.01,151.75,151.76,5/3/2021
30-Apr-21,150.98,151.03,152.11,150.84,151.84,46523,-0.86,-0.57%,151.91,151.45,151.26,4/30/2021
29-Apr-21,151.84,151.89,152.4,151.2,151.31,44068,0.51,0.34%,151.39,152.03,152.01,4/29/2021
28-Apr-21,151.33,151.38,151.57,150.96,151.19,46460,0.15,0.10%,151.18,151.22,151.39,4/28/2021
27-Apr-21,151.18,151.23,151.24,150.09,150.16,41724,0.97,0.65%,150.33,150.4,150.97,4/27/2021
26-Apr-21,150.21,150.26,150.38,149.52,149.77,43826,0.41,0.27%,149.56,149.97,150.16,4/26/2021
23-Apr-21,149.8,149.85,149.93,149.04,149.35,42273,0.44,0.29%,149.42,149.85,149.43,4/23/2021
22-Apr-21,149.36,149.41,150.64,149.33,150.53,44854,-1.17,-0.78%,150.49,150.23,149.79,4/22/2021
21-Apr-21,150.53,150.58,150.96,150.02,150.63,41925,-0.1,-0.07%,150.69,150.8,150.61,4/21/2021
20-Apr-21,150.63,150.68,151.98,150.54,151.27,45420,-0.67,-0.44%,151.24,151.62,150.79,4/20/2021
19-Apr-21,151.3,151.35,151.31,149.87,150.36,46680,0.77,0.51%,150.21,150.14,151.06,4/19/2021
16-Apr-21,150.53,150.58,150.6,149.34,149.93,42442,0.54,0.36%,149.81,149.76,150.37,4/16/2021
15-Apr-21,149.99,150.04,150.21,149.67,150.08,42378,-0.11,-0.07%,150.02,150.08,149.89,4/15/2021
14-Apr-21,150.1,150.15,150.45,149.57,149.87,42479,0.17,0.11%,149.84,150.22,150.2,4/14/2021
