Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,GBPNZD00H= CHT,GBPNZD08H= CHT,GBPNZD16H= CHT,Date
10-May-21,1.929,1.9298,1.93,1.9184,1.9194,6618,0.0092,0.48%,1.9238,1.9337,1.9372,5/10/2021
7-May-21,1.9198,1.9206,1.93,1.917,1.9201,34770,-0.0003,-0.02%,1.9208,1.9276,1.9181,5/7/2021
6-May-21,1.9201,1.9209,1.9332,1.9186,1.9262,37085,-0.0068,-0.35%,1.9262,1.9291,1.9218,5/6/2021
5-May-21,1.9269,1.9277,1.944,1.9264,1.944,31155,-0.0171,-0.88%,1.9387,1.9393,1.9286,5/5/2021
4-May-21,1.944,1.9448,1.9481,1.9291,1.933,36332,0.0119,0.62%,1.9312,1.9379,1.945,5/4/2021
3-May-21,1.9321,1.9329,1.9352,1.9224,1.9286,26592,0.0023,0.12%,1.9269,1.9307,1.9327,5/3/2021
30-Apr-21,1.9298,1.9306,1.9308,1.9204,1.923,36606,0.0065,0.34%,1.9247,1.9218,1.9297,4/30/2021
29-Apr-21,1.9233,1.9241,1.9316,1.9169,1.9203,35113,0.0036,0.19%,1.9194,1.9235,1.9295,4/29/2021
28-Apr-21,1.9197,1.9205,1.932,1.9178,1.931,32910,-0.0093,-0.48%,1.9294,1.9256,1.921,4/28/2021
27-Apr-21,1.929,1.9298,1.9307,1.9194,1.9201,30115,0.0086,0.45%,1.9217,1.9243,1.9275,4/27/2021
26-Apr-21,1.9204,1.9212,1.9318,1.9176,1.931,32249,-0.0086,-0.45%,1.9273,1.9296,1.9202,4/26/2021
23-Apr-21,1.929,1.9298,1.9359,1.9266,1.928,32200,-0.0022,-0.11%,1.9336,1.9316,1.928,4/23/2021
22-Apr-21,1.9312,1.932,1.9393,1.9288,1.931,34649,0.0002,0.01%,1.9335,1.9367,1.9317,4/22/2021
21-Apr-21,1.931,1.9318,1.9454,1.9301,1.941,30964,-0.0106,-0.55%,1.9452,1.9407,1.9314,4/21/2021
