Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,GBPUSD00H= CHT,GBPUSD08H= CHT,GBPUSD16H= CHT,Date
10-May-21,1.4047,1.4051,1.4057,1.3976,1.3978,22420,0.0075,0.54%,1.4038,1.4074,1.4151,5/10/2021
7-May-21,1.3972,1.3976,1.4005,1.3884,1.3885,87185,0.0087,0.63%,1.3895,1.3921,1.3998,5/7/2021
6-May-21,1.3885,1.3889,1.394,1.3853,1.3901,99704,-0.0018,-0.13%,1.3907,1.3901,1.3877,5/6/2021
5-May-21,1.3903,1.3907,1.3926,1.3872,1.3885,106065,0.0018,0.13%,1.3887,1.3895,1.3912,5/5/2021
4-May-21,1.3885,1.3888,1.3913,1.3836,1.3909,99804,-0.0024,-0.17%,1.3903,1.3866,1.387,5/4/2021
3-May-21,1.3909,1.3913,1.3931,1.3799,1.3825,70323,0.0095,0.69%,1.3818,1.3841,1.391,5/3/2021
30-Apr-21,1.3814,1.3818,1.3958,1.38,1.394,99939,-0.0126,-0.90%,1.3948,1.3914,1.3836,4/30/2021
29-Apr-21,1.394,1.3944,1.3976,1.3929,1.3937,81011,0.0008,0.06%,1.3954,1.3961,1.3954,4/29/2021
28-Apr-21,1.3932,1.3936,1.395,1.3859,1.3914,87780,0.002,0.14%,1.3901,1.3872,1.3914,4/28/2021
27-Apr-21,1.3912,1.3916,1.3923,1.3857,1.3896,104319,0.0016,0.12%,1.3894,1.3884,1.3905,4/27/2021
26-Apr-21,1.3896,1.3899,1.3929,1.3863,1.3871,102410,0.0022,0.16%,1.3863,1.3924,1.3889,4/26/2021
23-Apr-21,1.3874,1.3878,1.3895,1.3831,1.3836,84973,0.0038,0.27%,1.3838,1.3886,1.3843,4/23/2021
22-Apr-21,1.3836,1.384,1.3949,1.3822,1.3929,99289,-0.0093,-0.67%,1.3929,1.3925,1.3849,4/22/2021
21-Apr-21,1.3929,1.3933,1.3949,1.3884,1.3936,94247,-0.0007,-0.05%,1.3938,1.3934,1.3933,4/21/2021
20-Apr-21,1.3936,1.3939,1.4008,1.3924,1.3983,94450,-0.0047,-0.34%,1.3991,1.3987,1.3952,4/20/2021
19-Apr-21,1.3983,1.399,1.3992,1.3808,1.3825,85118,0.0153,1.11%,1.3817,1.3874,1.3975,4/19/2021
16-Apr-21,1.383,1.3833,1.3842,1.3715,1.3782,102942,0.0044,0.32%,1.3783,1.3753,1.3824,4/16/2021
15-Apr-21,1.3786,1.3789,1.3808,1.376,1.3779,107077,0.0008,0.06%,1.3777,1.3792,1.3779,4/15/2021
14-Apr-21,1.3778,1.3782,1.3808,1.3745,1.3747,96449,0.003,0.22%,1.3758,1.3783,1.3788,4/14/2021
13-Apr-21,1.3748,1.3752,1.3768,1.3692,1.3738,94399,0.0008,0.06%,1.3753,1.3749,1.3741,4/13/2021
12-Apr-21,1.374,1.3744,1.3776,1.3667,1.3708,94709,0.0032,0.23%,1.3707,1.3727,1.3739,4/12/2021
9-Apr-21,1.3708,1.3711,1.375,1.3669,1.3732,88884,-0.0025,-0.18%,1.3733,1.3702,1.3729,4/9/2021
8-Apr-21,1.3733,1.3736,1.3782,1.3717,1.3734,99942,-0.0001,-0.01%,1.3741,1.3763,1.3737,4/8/2021
7-Apr-21,1.3734,1.3738,1.3839,1.3722,1.3823,121477,-0.0089,-0.64%,1.383,1.3805,1.3754,4/7/2021
6-Apr-21,1.3823,1.3827,1.3918,1.38,1.39,96112,-0.0074,-0.53%,1.3912,1.3879,1.3846,4/6/2021
5-Apr-21,1.3897,1.3901,1.3913,1.3811,1.3825,71847,0.0068,0.49%,1.3829,1.3838,1.3905,4/5/2021
2-Apr-21,1.3829,1.3833,1.3852,1.381,1.383,76452,-0.0001,-0.01%,1.3833,1.3837,1.3821,4/2/2021
1-Apr-21,1.383,1.3836,1.3836,1.3744,1.3779,128664,0.0051,0.37%,1.3785,1.3785,1.3823,4/1/2021
31-Mar-21,1.3779,1.3786,1.3811,1.3714,1.3738,126678,0.004,0.29%,1.3745,1.3742,1.3792,3/31/2021
30-Mar-21,1.3739,1.3743,1.3783,1.3704,1.3759,102527,-0.002,-0.15%,1.3774,1.3754,1.3728,3/30/2021
29-Mar-21,1.3759,1.3766,1.3846,1.3754,1.3791,116606,-0.0028,-0.20%,1.3789,1.3795,1.3793,3/29/2021
26-Mar-21,1.3787,1.3791,1.3812,1.3726,1.3729,98152,0.0055,0.40%,1.3746,1.3764,1.379,3/26/2021
25-Mar-21,1.3732,1.3736,1.3745,1.3668,1.3686,110057,0.0049,0.36%,1.3688,1.3677,1.3722,3/25/2021
24-Mar-21,1.3683,1.3692,1.376,1.3672,1.375,120604,-0.0067,-0.49%,1.3732,1.3687,1.3721,3/24/2021
23-Mar-21,1.375,1.3754,1.3866,1.3738,1.3861,116005,-0.0113,-0.82%,1.3858,1.3841,1.3792,3/23/2021
22-Mar-21,1.3863,1.3865,1.3876,1.3816,1.3864,90383,-0.0005,-0.04%,1.3832,1.3848,1.3853,3/22/2021
19-Mar-21,1.3868,1.3872,1.3958,1.3828,1.3922,123963,-0.0052,-0.37%,1.3922,1.3948,1.3869,3/19/2021
18-Mar-21,1.392,1.3925,1.4001,1.3895,1.3966,130084,-0.0043,-0.31%,1.3974,1.3957,1.3936,3/18/2021
17-Mar-21,1.3963,1.3967,1.397,1.3849,1.3888,117162,0.0076,0.55%,1.3901,1.3915,1.3885,3/17/2021
16-Mar-21,1.3887,1.3894,1.3905,1.3807,1.3897,103431,-0.0006,-0.04%,1.3898,1.3825,1.3889,3/16/2021
15-Mar-21,1.3893,1.3897,1.3949,1.3849,1.3918,120675,-0.0029,-0.21%,1.3928,1.3918,1.3862,3/15/2021
12-Mar-21,1.3922,1.3927,1.4004,1.3861,1.3988,138382,-0.0068,-0.49%,1.3987,1.3941,1.3895,3/12/2021
11-Mar-21,1.399,1.3994,1.3994,1.3915,1.3932,127050,0.006,0.43%,1.3929,1.3941,1.3966,3/11/2021
10-Mar-21,1.393,1.3934,1.3938,1.3844,1.3891,139425,0.0037,0.27%,1.3886,1.3882,1.3902,3/10/2021
9-Mar-21,1.3893,1.3896,1.3925,1.38,1.3824,158400,0.0069,0.50%,1.3821,1.3878,1.3892,3/9/2021
8-Mar-21,1.3824,1.3828,1.3865,1.3798,1.3835,157662,-0.0017,-0.12%,1.3849,1.3817,1.381,3/8/2021
5-Mar-21,1.3841,1.3845,1.3906,1.3777,1.3894,150383,-0.0053,-0.38%,1.3893,1.387,1.3815,3/5/2021
4-Mar-21,1.3894,1.3899,1.4016,1.3878,1.3951,167344,-0.0059,-0.42%,1.392,1.3955,1.3989,3/4/2021
3-Mar-21,1.3953,1.3957,1.4006,1.3918,1.3951,153089,0,0.00%,1.3953,1.3979,1.3974,3/3/2021
2-Mar-21,1.3953,1.3957,1.3976,1.3857,1.3921,151910,0.0031,0.22%,1.3927,1.3877,1.3946,3/2/2021
1-Mar-21,1.3922,1.3926,1.3999,1.3902,1.3937,162238,-0.001,-0.07%,1.3972,1.3962,1.3936,3/1/2021
26-Feb-21,1.3932,1.3936,1.4026,1.3886,1.4013,177741,-0.0081,-0.58%,1.4002,1.3912,1.3977,2/26/2021
25-Feb-21,1.4013,1.4017,1.4181,1.3998,1.4132,189693,-0.0126,-0.89%,1.4146,1.4147,1.4134,2/25/2021
24-Feb-21,1.4139,1.4143,1.4235,1.408,1.4108,137035,0.0029,0.21%,1.4117,1.4178,1.4103,2/24/2021
23-Feb-21,1.411,1.4114,1.4116,1.4052,1.4061,146306,0.0049,0.35%,1.4066,1.4083,1.4103,2/23/2021
22-Feb-21,1.4061,1.4067,1.4085,1.3978,1.4013,121008,0.0047,0.34%,1.4027,1.3991,1.4051,2/22/2021
19-Feb-21,1.4014,1.4018,1.4035,1.3949,1.3971,139066,0.0043,0.31%,1.3965,1.3981,1.4013,2/19/2021
18-Feb-21,1.3971,1.398,1.3985,1.3838,1.3851,152926,0.0118,0.85%,1.3866,1.3862,1.3944,2/18/2021
17-Feb-21,1.3853,1.3857,1.391,1.3828,1.39,183534,-0.0048,-0.35%,1.3883,1.3878,1.385,2/17/2021
16-Feb-21,1.3901,1.3905,1.3951,1.3867,1.3901,169927,-0.0002,-0.01%,1.3913,1.391,1.3925,2/16/2021
15-Feb-21,1.3903,1.3907,1.3919,1.3844,1.3844,123971,0.0059,0.43%,1.3868,1.3902,1.3912,2/15/2021
12-Feb-21,1.3844,1.3848,1.3862,1.3773,1.3814,137728,0.0029,0.21%,1.381,1.3792,1.3847,2/12/2021
11-Feb-21,1.3815,1.3819,1.3859,1.3799,1.383,161075,-0.0013,-0.09%,1.3829,1.384,1.3817,2/11/2021
10-Feb-21,1.3828,1.3837,1.3866,1.3801,1.3814,190911,0.0014,0.10%,1.3812,1.3827,1.3844,2/10/2021
9-Feb-21,1.3814,1.3818,1.3819,1.3733,1.3739,157830,0.0076,0.55%,1.3744,1.378,1.3795,2/9/2021
8-Feb-21,1.3738,1.3742,1.3748,1.3678,1.3727,138310,0.0005,0.04%,1.3736,1.3734,1.3738,2/8/2021
5-Feb-21,1.3733,1.3737,1.374,1.3657,1.367,151921,0.0063,0.46%,1.3672,1.368,1.3721,2/5/2021
4-Feb-21,1.367,1.3674,1.3697,1.3564,1.3643,143306,0.0026,0.19%,1.365,1.3589,1.3657,2/4/2021
3-Feb-21,1.3644,1.3649,1.3683,1.3617,1.3665,133051,-0.0021,-0.15%,1.3657,1.3669,1.3642,2/3/2021
2-Feb-21,1.3665,1.3669,1.371,1.3609,1.3662,146961,0.0004,0.03%,1.3674,1.3676,1.3628,2/2/2021
1-Feb-21,1.3661,1.3665,1.3757,1.3654,1.3711,150347,-0.0041,-0.30%,1.3697,1.3735,1.3661,2/1/2021
29-Jan-21,1.3702,1.3705,1.3751,1.3655,1.3719,186228,-0.0016,-0.12%,1.3724,1.3697,1.3726,1/29/2021
28-Jan-21,1.3718,1.3722,1.3745,1.3628,1.3686,184081,0.0032,0.23%,1.3669,1.3655,1.3717,1/28/2021
27-Jan-21,1.3686,1.369,1.3758,1.3657,1.3734,166199,-0.0047,-0.34%,1.3741,1.375,1.3703,1/27/2021
26-Jan-21,1.3733,1.3738,1.3744,1.3608,1.3672,124386,0.0059,0.43%,1.3675,1.3611,1.3741,1/26/2021
25-Jan-21,1.3674,1.3677,1.3723,1.3647,1.3678,139688,-0.001,-0.07%,1.3684,1.3717,1.3669,1/25/2021
22-Jan-21,1.3684,1.3688,1.3736,1.3634,1.3729,172622,-0.0048,-0.35%,1.3728,1.3668,1.3668,1/22/2021
21-Jan-21,1.3732,1.3735,1.3746,1.3648,1.3652,176078,0.0079,0.58%,1.3665,1.3695,1.3723,1/21/2021
20-Jan-21,1.3653,1.3657,1.3717,1.3621,1.3628,159651,0.0025,0.18%,1.3644,1.3669,1.3631,1/20/2021
19-Jan-21,1.3628,1.3631,1.3636,1.3569,1.3585,152491,0.0044,0.32%,1.3582,1.3602,1.3616,1/19/2021
18-Jan-21,1.3584,1.3589,1.3598,1.3518,1.3592,133855,-0.0002,-0.01%,1.357,1.3553,1.3574,1/18/2021
15-Jan-21,1.3586,1.359,1.3698,1.357,1.3686,154815,-0.0101,-0.74%,1.3681,1.366,1.3584,1/15/2021
14-Jan-21,1.3687,1.3691,1.3709,1.3614,1.3638,159671,0.005,0.37%,1.3647,1.3655,1.3679,1/14/2021
13-Jan-21,1.3637,1.3641,1.37,1.361,1.3666,156789,-0.0026,-0.19%,1.3665,1.368,1.3636,1/13/2021
12-Jan-21,1.3663,1.3667,1.367,1.3502,1.3519,156367,0.0149,1.10%,1.3522,1.3552,1.3616,1/12/2021
11-Jan-21,1.3514,1.3517,1.3566,1.3449,1.3565,149566,-0.0049,-0.36%,1.3518,1.3485,1.3484,1/11/2021
8-Jan-21,1.3563,1.3567,1.3635,1.3537,1.3563,139697,0,0.00%,1.3568,1.3577,1.3588,1/8/2021
7-Jan-21,1.3563,1.3568,1.3633,1.3531,1.3606,157308,-0.0044,-0.32%,1.3624,1.358,1.3547,1/7/2021
6-Jan-21,1.3607,1.3611,1.367,1.3537,1.3623,150614,-0.0017,-0.12%,1.3626,1.3655,1.3548,1/6/2021
5-Jan-21,1.3624,1.3628,1.3641,1.3552,1.357,155212,0.0055,0.41%,1.357,1.3568,1.3592,1/5/2021
4-Jan-21,1.3569,1.3574,1.3703,1.3539,1.3663,131658,-0.0102,-0.75%,1.368,1.3687,1.3576,1/4/2021
1-Jan-21,1.3671,1.3675,1.3681,1.3671,1.3671,1447,-0.0002,-0.01%,1.3674,1.3674,1.3671,1/1/2021
31-Dec-20,1.3673,1.3678,1.3686,1.3603,1.3622,152239,0.0051,0.37%,1.3627,1.3653,1.367,12/31/2020
30-Dec-20,1.3622,1.3627,1.3625,1.3491,1.3501,147187,0.0122,0.90%,1.3496,1.3531,1.3606,12/30/2020
29-Dec-20,1.35,1.3503,1.3522,1.3444,1.3448,133086,0.0051,0.38%,1.3464,1.3505,1.3492,12/29/2020
28-Dec-20,1.3449,1.3453,1.3575,1.3427,1.3544,105944,-0.0099,-0.73%,1.3569,1.3563,1.3448,12/28/2020
25-Dec-20,1.3548,1.3552,1.3587,1.3548,1.3556,1681,-0.0007,-0.05%,1.3552,1.3565,1.3548,12/25/2020
24-Dec-20,1.3555,1.3559,1.3619,1.3487,1.3494,158471,0.0063,0.47%,1.3512,1.3565,1.3535,12/24/2020
23-Dec-20,1.3492,1.3496,1.357,1.335,1.3361,173439,0.0132,0.99%,1.34,1.3437,1.352,12/23/2020
22-Dec-20,1.336,1.3364,1.3469,1.3302,1.3463,170817,-0.0103,-0.77%,1.3445,1.3432,1.3317,12/22/2020
21-Dec-20,1.3463,1.3472,1.3496,1.3187,1.3473,169701,-0.0057,-0.42%,1.3399,1.3283,1.3312,12/21/2020
18-Dec-20,1.352,1.3524,1.359,1.347,1.3585,158853,-0.0062,-0.46%,1.3568,1.3521,1.3483,12/18/2020
17-Dec-20,1.3582,1.3586,1.3624,1.3493,1.3508,155895,0.0075,0.56%,1.35,1.3572,1.3592,12/17/2020
16-Dec-20,1.3507,1.3511,1.3552,1.3432,1.3458,145023,0.0046,0.34%,1.3446,1.3485,1.3499,12/16/2020
15-Dec-20,1.3461,1.3464,1.3469,1.3278,1.3321,121999,0.0139,1.04%,1.3325,1.3326,1.3396,12/15/2020
14-Dec-20,1.3322,1.3326,1.3445,1.3272,1.3279,108710,0.0099,0.75%,1.3316,1.3381,1.3316,12/14/2020
11-Dec-20,1.3223,1.3227,1.3324,1.3133,1.3294,138478,-0.007,-0.53%,1.33,1.3275,1.3214,12/11/2020
10-Dec-20,1.3293,1.3296,1.3412,1.3244,1.3401,138540,-0.0103,-0.77%,1.3365,1.3315,1.3272,12/10/2020
9-Dec-20,1.3396,1.34,1.3477,1.3348,1.3353,119726,0.0043,0.32%,1.3364,1.3377,1.3395,12/9/2020
8-Dec-20,1.3353,1.3357,1.3391,1.3288,1.3376,137800,-0.0023,-0.17%,1.3354,1.3356,1.3357,12/8/2020
7-Dec-20,1.3376,1.338,1.3447,1.3223,1.3447,134389,-0.0061,-0.45%,1.3413,1.3376,1.3313,12/7/2020
4-Dec-20,1.3437,1.3442,1.3539,1.3408,1.3445,150709,-0.0015,-0.11%,1.3451,1.344,1.3472,12/4/2020
3-Dec-20,1.3452,1.3456,1.3499,1.3351,1.3359,164977,0.0089,0.67%,1.3367,1.3397,1.3496,12/3/2020
2-Dec-20,1.3363,1.3367,1.344,1.3286,1.3421,143828,-0.0052,-0.39%,1.3421,1.3376,1.3324,12/2/2020
1-Dec-20,1.3415,1.3418,1.344,1.3313,1.3322,136383,0.0094,0.71%,1.3335,1.3381,1.3358,12/1/2020
30-Nov-20,1.3321,1.3325,1.3384,1.3302,1.3312,133826,0.0007,0.05%,1.3329,1.3349,1.335,11/30/2020
27-Nov-20,1.3314,1.3318,1.3381,1.3286,1.3352,147764,-0.0041,-0.31%,1.3353,1.3367,1.3339,11/27/2020
26-Nov-20,1.3355,1.3362,1.3397,1.332,1.3374,130468,-0.0027,-0.20%,1.3381,1.3366,1.3327,11/26/2020
25-Nov-20,1.3382,1.3386,1.3393,1.3303,1.336,149753,0.0026,0.19%,1.3361,1.3368,1.3376,11/25/2020
24-Nov-20,1.3356,1.3363,1.338,1.3291,1.3322,140775,0.0033,0.25%,1.3325,1.3338,1.3355,11/24/2020
23-Nov-20,1.3323,1.3325,1.3397,1.3262,1.3273,144148,0.0041,0.31%,1.3303,1.3327,1.3292,11/23/2020
20-Nov-20,1.3282,1.3286,1.3296,1.3242,1.3259,147758,0.0021,0.16%,1.3247,1.3254,1.3284,11/20/2020
19-Nov-20,1.3261,1.3264,1.3279,1.3194,1.3273,162809,-0.0008,-0.06%,1.325,1.3232,1.3222,11/19/2020
18-Nov-20,1.3269,1.3275,1.3311,1.324,1.3242,149983,0.0028,0.21%,1.3256,1.3274,1.3301,11/18/2020
17-Nov-20,1.3241,1.3249,1.3272,1.3185,1.3193,156950,0.005,0.38%,1.322,1.3199,1.3258,11/17/2020
16-Nov-20,1.3191,1.32,1.3242,1.316,1.3177,139327,0.0005,0.04%,1.3219,1.3223,1.3176,11/16/2020
13-Nov-20,1.3186,1.319,1.3201,1.3107,1.3116,155610,0.0072,0.55%,1.312,1.3162,1.3157,11/13/2020
12-Nov-20,1.3114,1.3118,1.3228,1.3104,1.322,174577,-0.0107,-0.81%,1.3222,1.3171,1.3127,11/12/2020
11-Nov-20,1.3221,1.3225,1.3308,1.3187,1.3266,165959,-0.005,-0.38%,1.326,1.3275,1.3197,11/11/2020
10-Nov-20,1.3271,1.3275,1.3277,1.3153,1.3164,173728,0.0108,0.82%,1.3167,1.3171,1.3249,11/10/2020
9-Nov-20,1.3163,1.3167,1.3207,1.3117,1.3162,161432,0.0007,0.05%,1.3178,1.3176,1.315,11/9/2020
6-Nov-20,1.3156,1.3159,1.3177,1.3091,1.3142,183363,0.0014,0.11%,1.3136,1.3148,1.3138,11/6/2020
5-Nov-20,1.3142,1.3148,1.3154,1.2928,1.2987,183381,0.0157,1.21%,1.2965,1.3021,1.311,11/5/2020
4-Nov-20,1.2985,1.299,1.3139,1.2912,1.3058,175280,-0.0073,-0.56%,1.3118,1.2948,1.299,11/4/2020
3-Nov-20,1.3058,1.3062,1.3078,1.2901,1.2913,142533,0.0146,1.13%,1.2922,1.2942,1.3066,11/3/2020
2-Nov-20,1.2912,1.2916,1.2952,1.2852,1.2944,135531,-0.0029,-0.22%,1.2925,1.2907,1.2908,11/2/2020
30-Oct-20,1.2941,1.2945,1.2987,1.2896,1.2927,172864,0.0015,0.12%,1.293,1.2915,1.293,10/30/2020
29-Oct-20,1.2926,1.2929,1.3025,1.2879,1.2982,165881,-0.0055,-0.42%,1.2989,1.3002,1.2888,10/29/2020
28-Oct-20,1.2981,1.2984,1.3063,1.2915,1.3044,162003,-0.0062,-0.48%,1.303,1.3029,1.2995,10/28/2020
27-Oct-20,1.3043,1.3046,1.3079,1.2999,1.3018,132878,0.002,0.15%,1.3015,1.302,1.3064,10/27/2020
26-Oct-20,1.3023,1.3025,1.3074,1.2991,1.3046,133776,-0.0017,-0.13%,1.3052,1.3008,1.3018,10/26/2020
23-Oct-20,1.304,1.3044,1.3122,1.3017,1.3081,153938,-0.0041,-0.31%,1.3077,1.309,1.3038,10/23/2020
22-Oct-20,1.3081,1.3086,1.3152,1.3068,1.3148,156376,-0.0063,-0.48%,1.3127,1.3138,1.3085,10/22/2020
21-Oct-20,1.3144,1.3148,1.3177,1.2933,1.2943,148809,0.02,1.55%,1.2955,1.3045,1.3141,10/21/2020
20-Oct-20,1.2944,1.2953,1.2978,1.2909,1.295,143058,-0.0003,-0.02%,1.2947,1.2942,1.295,10/20/2020
19-Oct-20,1.2947,1.2951,1.3023,1.2888,1.2913,126161,0.0034,0.26%,1.2925,1.2969,1.2996,10/19/2020
16-Oct-20,1.2913,1.2918,1.2961,1.2861,1.2914,128392,-0.0001,-0.01%,1.2901,1.2932,1.2929,10/16/2020
15-Oct-20,1.2914,1.2917,1.3029,1.2888,1.3008,139719,-0.0097,-0.75%,1.3011,1.3002,1.2914,10/15/2020
14-Oct-20,1.3011,1.3015,1.3064,1.2861,1.2934,137491,0.0077,0.60%,1.2934,1.2885,1.302,10/14/2020
13-Oct-20,1.2934,1.2941,1.3072,1.292,1.3063,150249,-0.013,-1.00%,1.3064,1.302,1.2968,10/13/2020
12-Oct-20,1.3064,1.3071,1.3082,1.3003,1.3026,123919,0.0018,0.14%,1.303,1.3031,1.306,10/12/2020
9-Oct-20,1.3046,1.305,1.3049,1.2918,1.2933,159026,0.0113,0.87%,1.2938,1.2957,1.3002,10/9/2020
8-Oct-20,1.2933,1.2937,1.297,1.2889,1.2917,165311,0.0015,0.12%,1.2915,1.2937,1.2941,10/8/2020
7-Oct-20,1.2918,1.2922,1.2929,1.2843,1.2884,162797,0.0041,0.32%,1.2882,1.2926,1.2912,10/7/2020
6-Oct-20,1.2877,1.2881,1.3006,1.2864,1.2976,148044,-0.01,-0.77%,1.2992,1.2978,1.2942,10/6/2020
5-Oct-20,1.2977,1.2982,1.299,1.2897,1.2931,120400,0.0046,0.36%,1.2928,1.293,1.2969,10/5/2020
2-Oct-20,1.2931,1.2935,1.2953,1.2835,1.2891,168575,0.0042,0.33%,1.2885,1.2914,1.2925,10/2/2020
1-Oct-20,1.2889,1.2893,1.2978,1.2816,1.2917,179788,-0.0027,-0.21%,1.2915,1.2889,1.29,10/1/2020
30-Sep-20,1.2916,1.292,1.2942,1.2804,1.2862,158185,0.0055,0.43%,1.2864,1.2814,1.2916,9/30/2020
29-Sep-20,1.2861,1.2865,1.2901,1.282,1.2834,146752,0.0034,0.27%,1.2872,1.2881,1.2845,9/29/2020
