Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,NZDCAD00H= CHT,NZDCAD08H= CHT,NZDCAD16H= CHT,Date
10-May-21,0.882,0.8826,0.8851,0.8811,0.8834,29477,-0.0002,-0.02%,0.8833,0.8813,0.8822,5/10/2021
7-May-21,0.8822,0.883,0.8857,0.8773,0.8783,116180,0.0037,0.42%,0.8789,0.8792,0.8851,5/7/2021
6-May-21,0.8785,0.8793,0.8862,0.878,0.8847,118320,-0.0061,-0.69%,0.8853,0.8829,0.8801,5/6/2021
5-May-21,0.8846,0.8854,0.8855,0.8785,0.8791,95849,0.0055,0.63%,0.8806,0.8802,0.8838,5/5/2021
4-May-21,0.8791,0.8797,0.8848,0.8769,0.8836,121505,-0.0039,-0.44%,0.8835,0.8802,0.8776,5/4/2021
3-May-21,0.883,0.8839,0.8852,0.8789,0.8818,91524,0.0031,0.35%,0.88,0.8814,0.8829,5/3/2021
30-Apr-21,0.8799,0.8807,0.891,0.8783,0.8893,115575,-0.0094,-1.06%,0.8893,0.8886,0.8811,4/30/2021
29-Apr-21,0.8893,0.89,0.8954,0.8881,0.8932,117698,-0.0036,-0.40%,0.8942,0.8925,0.8885,4/29/2021
28-Apr-21,0.8929,0.8936,0.8961,0.8914,0.8932,111630,-0.0004,-0.04%,0.8934,0.8935,0.8945,4/28/2021
27-Apr-21,0.8933,0.8942,0.8976,0.8928,0.8966,102333,-0.0033,-0.37%,0.896,0.8946,0.8938,4/27/2021
26-Apr-21,0.8966,0.8974,0.8998,0.8943,0.8964,105491,-0.0001,-0.01%,0.8978,0.8986,0.8963,4/26/2021
23-Apr-21,0.8967,0.8973,0.8986,0.8936,0.897,102959,-0.0005,-0.06%,0.8939,0.8958,0.897,4/23/2021
22-Apr-21,0.8972,0.8979,0.9013,0.8931,0.9012,119612,-0.0039,-0.43%,0.9007,0.8982,0.8948,4/22/2021
21-Apr-21,0.9011,0.9019,0.908,0.8983,0.9043,113731,-0.0032,-0.35%,0.9035,0.9034,0.9001,4/21/2021
20-Apr-21,0.9043,0.9052,0.9059,0.8981,0.8998,118257,0.0044,0.49%,0.9003,0.9019,0.9032,4/20/2021
19-Apr-21,0.8999,0.9008,0.9005,0.8903,0.8921,108657,0.007,0.78%,0.8915,0.8949,0.8989,4/19/2021
16-Apr-21,0.8929,0.8937,0.9004,0.8906,0.8991,102923,-0.006,-0.67%,0.8999,0.8962,0.8917,4/16/2021
15-Apr-21,0.8989,0.8997,0.9002,0.8927,0.8936,112289,0.0052,0.58%,0.8931,0.8958,0.8982,4/15/2021
14-Apr-21,0.8937,0.8945,0.896,0.8827,0.8837,110686,0.01,1.13%,0.8848,0.8905,0.8943,4/14/2021
13-Apr-21,0.8837,0.8845,0.8868,0.8806,0.8828,108527,0.0009,0.10%,0.8829,0.8827,0.8823,4/13/2021
12-Apr-21,0.8828,0.8836,0.884,0.8796,0.8796,107218,0.0021,0.24%,0.8816,0.8827,0.882,4/12/2021
9-Apr-21,0.8807,0.8815,0.8873,0.8803,0.8859,112331,-0.0053,-0.60%,0.8867,0.8848,0.8836,4/9/2021
8-Apr-21,0.886,0.8868,0.8888,0.8829,0.8837,107238,0.0021,0.24%,0.8844,0.8858,0.8858,4/8/2021
7-Apr-21,0.8839,0.8847,0.8887,0.883,0.8866,115377,-0.0027,-0.30%,0.8878,0.8874,0.8857,4/7/2021
6-Apr-21,0.8866,0.8871,0.8874,0.8795,0.8834,98876,0.0032,0.36%,0.8844,0.8817,0.883,4/6/2021
5-Apr-21,0.8834,0.8841,0.8857,0.8819,0.882,76045,-0.0008,-0.09%,0.8831,0.8832,0.884,4/5/2021
2-Apr-21,0.8842,0.8849,0.8854,0.8789,0.8799,58756,0.0043,0.49%,0.8809,0.8824,0.8818,4/2/2021
1-Apr-21,0.8799,0.8807,0.8823,0.8743,0.8771,100090,0.003,0.34%,0.8771,0.8764,0.8811,4/1/2021
31-Mar-21,0.8769,0.8777,0.8826,0.8764,0.8816,96591,-0.005,-0.57%,0.8822,0.8804,0.8783,3/31/2021
30-Mar-21,0.8819,0.8826,0.885,0.8794,0.8808,98452,0.0011,0.12%,0.8823,0.8823,0.8819,3/30/2021
29-Mar-21,0.8808,0.8816,0.8839,0.8773,0.8783,79887,0.0018,0.20%,0.8797,0.8808,0.883,3/29/2021
26-Mar-21,0.879,0.8798,0.8808,0.8755,0.8762,90690,0.0027,0.31%,0.8773,0.8773,0.8796,3/26/2021
25-Mar-21,0.8763,0.8768,0.8786,0.8743,0.8752,105741,0.001,0.11%,0.8761,0.875,0.8762,3/25/2021
24-Mar-21,0.8753,0.8759,0.8826,0.8742,0.8803,96828,-0.0052,-0.59%,0.8799,0.8779,0.8765,3/24/2021
23-Mar-21,0.8805,0.8813,0.8975,0.8788,0.8965,103228,-0.0162,-1.81%,0.8923,0.8859,0.882,3/23/2021
22-Mar-21,0.8967,0.8972,0.8995,0.8917,0.8929,90367,0.0015,0.17%,0.8953,0.8946,0.8987,3/22/2021
19-Mar-21,0.8952,0.8959,0.8973,0.8932,0.8946,122358,0.0007,0.08%,0.895,0.8951,0.8958,3/19/2021
18-Mar-21,0.8945,0.8953,0.8995,0.8928,0.898,132505,-0.0033,-0.37%,0.8981,0.8966,0.8941,3/18/2021
17-Mar-21,0.8978,0.8985,0.9013,0.8921,0.8948,105421,0.003,0.34%,0.8948,0.8942,0.893,3/17/2021
16-Mar-21,0.8948,0.8954,0.899,0.8937,0.8978,104040,-0.0029,-0.32%,0.8985,0.8971,0.8945,3/16/2021
15-Mar-21,0.8977,0.8985,0.8988,0.8923,0.8952,95705,0.003,0.34%,0.8959,0.8969,0.8966,3/15/2021
12-Mar-21,0.8947,0.8955,0.906,0.8935,0.9053,121181,-0.0103,-1.14%,0.9055,0.903,0.896,3/12/2021
11-Mar-21,0.905,0.9058,0.9111,0.904,0.9078,116926,-0.0026,-0.29%,0.9076,0.9102,0.9052,3/11/2021
10-Mar-21,0.9076,0.9081,0.9089,0.9038,0.9056,133009,0.0021,0.23%,0.9076,0.9064,0.9063,3/10/2021
9-Mar-21,0.9055,0.906,0.9073,0.8997,0.9025,144439,0.0031,0.34%,0.9026,0.9021,0.9034,3/9/2021
8-Mar-21,0.9024,0.9028,0.9083,0.901,0.9054,156121,-0.0036,-0.40%,0.9062,0.9042,0.9034,3/8/2021
5-Mar-21,0.906,0.9068,0.9114,0.9033,0.9106,169459,-0.0045,-0.49%,0.9098,0.9058,0.9057,3/5/2021
4-Mar-21,0.9105,0.9113,0.9193,0.9093,0.9166,166822,-0.0063,-0.69%,0.9158,0.9178,0.9144,3/4/2021
3-Mar-21,0.9168,0.9174,0.9222,0.9145,0.9203,139006,-0.0035,-0.38%,0.9209,0.9192,0.9161,3/3/2021
2-Mar-21,0.9203,0.9211,0.922,0.9146,0.9185,150429,0.0019,0.21%,0.919,0.916,0.9184,3/2/2021
1-Mar-21,0.9184,0.9192,0.9255,0.9166,0.9202,141529,-0.003,-0.33%,0.9229,0.9228,0.9207,3/1/2021
26-Feb-21,0.9214,0.9223,0.9302,0.9182,0.9289,188972,-0.0074,-0.80%,0.928,0.9264,0.9209,2/26/2021
25-Feb-21,0.9288,0.9297,0.9324,0.9265,0.9299,159277,-0.0011,-0.12%,0.9309,0.9297,0.9305,2/25/2021
24-Feb-21,0.9299,0.9307,0.933,0.9203,0.9237,137744,0.006,0.65%,0.924,0.9275,0.9282,2/24/2021
23-Feb-21,0.9239,0.9246,0.9251,0.9199,0.9239,130545,-0.0003,-0.03%,0.9235,0.9212,0.9237,2/23/2021
