Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,NZDCHF00H= CHT,NZDCHF08H= CHT,NZDCHF16H= CHT,Date
10-May-21,0.6562,0.6566,0.659,0.6548,0.6548,14515,0.0009,0.14%,0.6566,0.6555,0.6561,5/10/2021
7-May-21,0.6553,0.6559,0.6576,0.6537,0.6559,73046,-0.0009,-0.14%,0.6561,0.6555,0.6571,5/7/2021
6-May-21,0.6562,0.6568,0.6604,0.6532,0.6585,68286,-0.0022,-0.33%,0.6589,0.6562,0.6565,5/6/2021
5-May-21,0.6584,0.6591,0.6589,0.6523,0.6524,55057,0.006,0.92%,0.654,0.6557,0.658,5/5/2021
4-May-21,0.6524,0.6531,0.657,0.6496,0.6552,73762,-0.0028,-0.43%,0.6558,0.6539,0.6511,5/4/2021
3-May-21,0.6552,0.6559,0.6571,0.6526,0.6547,60858,0.0013,0.20%,0.6543,0.6542,0.6561,5/3/2021
30-Apr-21,0.6539,0.6546,0.6594,0.6531,0.6579,82949,-0.0039,-0.59%,0.6584,0.6578,0.6543,4/30/2021
29-Apr-21,0.6578,0.6584,0.6619,0.6571,0.6598,73136,-0.0017,-0.26%,0.6606,0.6607,0.6575,4/29/2021
28-Apr-21,0.6595,0.6602,0.6619,0.6572,0.6581,69566,0.0012,0.18%,0.6582,0.6594,0.6606,4/28/2021
27-Apr-21,0.6583,0.6587,0.662,0.6573,0.6613,62776,-0.003,-0.45%,0.6609,0.6605,0.6585,4/27/2021
26-Apr-21,0.6613,0.6619,0.6622,0.6547,0.6547,57386,0.0047,0.72%,0.6569,0.6592,0.6611,4/26/2021
23-Apr-21,0.6566,0.6572,0.6588,0.6556,0.6579,60960,-0.001,-0.15%,0.6559,0.6581,0.657,4/23/2021
22-Apr-21,0.6576,0.6582,0.6615,0.6559,0.6614,69490,-0.0037,-0.56%,0.6602,0.6575,0.6578,4/22/2021
21-Apr-21,0.6613,0.6619,0.662,0.6558,0.6571,64716,0.0044,0.67%,0.6562,0.6587,0.6609,4/21/2021
20-Apr-21,0.6569,0.6576,0.6611,0.6558,0.6572,67950,-0.0001,-0.02%,0.6577,0.66,0.657,4/20/2021
19-Apr-21,0.657,0.6576,0.6587,0.6542,0.6565,66743,0,0.00%,0.6557,0.6572,0.6565,4/19/2021
16-Apr-21,0.657,0.6576,0.662,0.6554,0.6614,62671,-0.0043,-0.65%,0.6613,0.6574,0.656,4/16/2021
15-Apr-21,0.6613,0.6619,0.6625,0.6578,0.6583,68178,0.0028,0.43%,0.6586,0.6621,0.6609,4/15/2021
14-Apr-21,0.6585,0.6591,0.6596,0.6484,0.6493,67981,0.0092,1.42%,0.6497,0.6527,0.6593,4/14/2021
13-Apr-21,0.6493,0.6498,0.6513,0.6468,0.6483,80358,0.001,0.15%,0.6484,0.6487,0.6482,4/13/2021
12-Apr-21,0.6483,0.6489,0.6519,0.6476,0.6496,65049,-0.0017,-0.26%,0.651,0.6503,0.6484,4/12/2021
9-Apr-21,0.65,0.6507,0.6532,0.6482,0.6522,63210,-0.0022,-0.34%,0.6525,0.6499,0.6516,4/9/2021
8-Apr-21,0.6522,0.6529,0.654,0.6507,0.6515,60944,0.0006,0.09%,0.6517,0.6525,0.6514,4/8/2021
7-Apr-21,0.6516,0.6523,0.6589,0.6505,0.6569,77628,-0.0053,-0.81%,0.6573,0.6546,0.6512,4/7/2021
6-Apr-21,0.6569,0.6573,0.6622,0.6559,0.6606,59372,-0.0037,-0.56%,0.6612,0.6592,0.6568,4/6/2021
5-Apr-21,0.6606,0.6613,0.6644,0.6601,0.6611,37997,-0.0017,-0.26%,0.6621,0.6624,0.6612,4/5/2021
2-Apr-21,0.6623,0.663,0.6635,0.6599,0.6608,32219,0.0016,0.24%,0.6614,0.6615,0.6609,4/2/2021
1-Apr-21,0.6607,0.6614,0.6624,0.6566,0.6587,55856,0.0019,0.29%,0.6589,0.6592,0.6596,4/1/2021
31-Mar-21,0.6588,0.6594,0.6611,0.6571,0.6575,49652,0.0013,0.20%,0.6583,0.6582,0.6581,3/31/2021
30-Mar-21,0.6575,0.6582,0.6605,0.6562,0.6571,49365,0.0005,0.08%,0.658,0.6597,0.6587,3/30/2021
29-Mar-21,0.657,0.6578,0.659,0.6539,0.6557,45968,0.0006,0.09%,0.6569,0.655,0.6577,3/29/2021
26-Mar-21,0.6564,0.657,0.658,0.6524,0.6532,45412,0.0032,0.49%,0.6542,0.6562,0.6571,3/26/2021
25-Mar-21,0.6532,0.6536,0.6539,0.651,0.6511,50451,0.002,0.31%,0.652,0.6519,0.6525,3/25/2021
24-Mar-21,0.6512,0.6515,0.6549,0.6509,0.6533,46488,-0.0022,-0.34%,0.6531,0.6523,0.653,3/24/2021
23-Mar-21,0.6534,0.654,0.6616,0.6523,0.6611,49935,-0.0079,-1.19%,0.6581,0.6554,0.6558,3/23/2021
22-Mar-21,0.6613,0.6615,0.6662,0.6607,0.6633,52067,-0.0043,-0.65%,0.665,0.665,0.6623,3/22/2021
19-Mar-21,0.6656,0.6662,0.667,0.6636,0.664,65813,0.0015,0.23%,0.6643,0.6646,0.6661,3/19/2021
18-Mar-21,0.6641,0.6648,0.6703,0.6641,0.6679,80641,-0.0037,-0.55%,0.6686,0.6693,0.6673,3/18/2021
17-Mar-21,0.6678,0.6685,0.6693,0.663,0.6646,64426,0.0032,0.48%,0.6651,0.6654,0.664,3/17/2021
16-Mar-21,0.6646,0.6651,0.6683,0.6637,0.6676,59794,-0.003,-0.45%,0.668,0.6666,0.6655,3/16/2021
15-Mar-21,0.6676,0.6682,0.6707,0.6645,0.667,60467,0.0006,0.09%,0.6677,0.6689,0.6664,3/15/2021
12-Mar-21,0.667,0.6676,0.6691,0.6655,0.6679,69765,-0.0007,-0.10%,0.6681,0.6675,0.6662,3/12/2021
11-Mar-21,0.6677,0.6684,0.6715,0.6662,0.6688,65181,-0.0011,-0.16%,0.6687,0.6713,0.6668,3/11/2021
10-Mar-21,0.6688,0.6693,0.6692,0.6633,0.6646,71185,0.0041,0.62%,0.6661,0.6645,0.6677,3/10/2021
9-Mar-21,0.6647,0.6652,0.6695,0.6639,0.6674,74384,-0.0028,-0.42%,0.6676,0.6665,0.6649,3/9/2021
8-Mar-21,0.6675,0.668,0.6687,0.6633,0.6657,70965,0.0011,0.17%,0.6673,0.6656,0.6673,3/8/2021
5-Mar-21,0.6664,0.6671,0.6683,0.6599,0.6676,92829,-0.0011,-0.16%,0.6669,0.6652,0.6649,3/5/2021
