Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,NZDJPY00H= CHT,NZDJPY08H= CHT,NZDJPY16H= CHT,Date
10-May-21,79.24,79.25,79.31,79.03,79.07,2419,0.25,0.32%,79.17,79.24,79.37,5/10/2021
7-May-21,78.99,79.1,79.19,78.61,78.84,7381,0.09,0.11%,78.84,78.77,79.15,5/7/2021
6-May-21,78.9,78.94,79.03,78.55,78.73,7321,0.12,0.15%,78.81,78.74,78.8,5/6/2021
5-May-21,78.78,78.81,78.82,78.03,78.04,6997,0.66,0.84%,78.27,78.3,78.77,5/5/2021
4-May-21,78.12,78.15,78.55,77.7,78.45,7159,-0.4,-0.51%,78.48,78.22,77.92,5/4/2021
3-May-21,78.52,78.56,78.68,78.24,78.24,6887,0.24,0.31%,78.31,78.56,78.49,5/3/2021
30-Apr-21,78.28,78.38,79.03,78.17,78.88,7576,-0.6,-0.76%,78.89,78.79,78.38,4/30/2021
29-Apr-21,78.88,78.89,79.16,78.64,78.71,7478,0,0.00%,78.85,79,78.75,4/29/2021
28-Apr-21,78.88,78.91,78.95,78.21,78.25,7409,0.5,0.64%,78.31,78.49,78.78,4/28/2021
27-Apr-21,78.38,78.41,78.4,77.98,78.16,7103,0.18,0.23%,78.19,78.11,78.26,4/27/2021
26-Apr-21,78.2,78.22,78.31,77.53,77.56,6840,0.58,0.75%,77.55,77.67,78.17,4/26/2021
23-Apr-21,77.62,77.71,77.72,77.18,77.31,6936,0.28,0.36%,77.22,77.53,77.48,4/23/2021
22-Apr-21,77.34,77.37,77.91,77.25,77.87,7040,-0.54,-0.69%,77.82,77.55,77.5,4/22/2021
21-Apr-21,77.88,77.9,78.04,77.36,77.47,7026,0.38,0.49%,77.46,77.67,77.93,4/21/2021
20-Apr-21,77.5,77.54,78.37,77.47,77.62,7205,-0.13,-0.17%,77.71,78.24,77.64,4/20/2021
19-Apr-21,77.63,77.66,77.84,77.41,77.45,7064,-0.07,-0.09%,77.45,77.62,77.52,4/19/2021
16-Apr-21,77.7,77.74,78.03,77.6,77.96,6846,-0.26,-0.33%,77.96,77.96,77.6,4/16/2021
15-Apr-21,77.96,78,78.12,77.67,77.67,6992,0.19,0.24%,77.73,78.08,77.91,4/15/2021
14-Apr-21,77.77,77.8,77.89,76.72,76.8,7069,0.83,1.08%,76.88,77.29,77.84,4/14/2021
13-Apr-21,76.94,76.96,76.98,76.66,76.85,6829,0.06,0.08%,76.9,76.7,76.82,4/13/2021
12-Apr-21,76.88,76.91,77.26,76.79,77.07,6783,-0.22,-0.29%,77.17,76.92,76.9,4/12/2021
9-Apr-21,77.1,77.19,77.4,76.71,77.02,7056,-0.04,-0.05%,77.19,76.96,77.25,4/9/2021
8-Apr-21,77.14,77.15,77.16,76.81,76.94,6640,0.13,0.17%,77.02,76.97,76.96,4/8/2021
7-Apr-21,77.01,77.05,77.58,76.85,77.42,6864,-0.45,-0.58%,77.53,77.27,77,4/7/2021
6-Apr-21,77.46,77.49,77.93,77.15,77.67,6923,-0.34,-0.44%,77.84,77.59,77.36,4/6/2021
5-Apr-21,77.8,77.82,77.95,77.61,77.66,5700,0.13,0.17%,77.79,77.71,77.78,4/5/2021
2-Apr-21,77.67,77.86,77.93,77.55,77.56,6221,-0.01,-0.01%,77.66,77.69,77.66,4/2/2021
1-Apr-21,77.68,77.7,77.7,76.91,77.31,7098,0.4,0.52%,77.31,77.18,77.54,4/1/2021
31-Mar-21,77.28,77.32,77.71,76.97,76.97,6878,0.23,0.30%,77.1,77.35,77.27,3/31/2021
30-Mar-21,77.05,77.09,77.35,76.73,76.81,6884,0.2,0.26%,76.97,77.17,76.98,3/30/2021
29-Mar-21,76.85,76.9,77,76.31,76.6,7109,0.11,0.14%,76.75,76.58,76.94,3/29/2021
26-Mar-21,76.74,76.82,76.8,75.82,75.83,7039,0.84,1.11%,76.02,76.26,76.6,3/26/2021
