Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,NZDUSD00H= CHT,NZDUSD08H= CHT,NZDUSD16H= CHT,Date
10-May-21,0.7282,0.7284,0.7298,0.7269,0.7276,7389,0.0009,0.12%,0.7293,0.7276,0.7302,5/10/2021
7-May-21,0.7273,0.7277,0.7299,0.7203,0.7231,39903,0.0041,0.57%,0.723,0.7218,0.7294,5/7/2021
6-May-21,0.7232,0.7236,0.7238,0.7183,0.7214,38447,0.0019,0.26%,0.7216,0.7203,0.7219,5/6/2021
5-May-21,0.7213,0.7217,0.7216,0.7142,0.7142,27455,0.0071,0.99%,0.7159,0.7161,0.7209,5/5/2021
4-May-21,0.7142,0.7146,0.7207,0.7113,0.7191,39493,-0.0056,-0.78%,0.7195,0.7151,0.7127,5/4/2021
3-May-21,0.7198,0.72,0.7212,0.7153,0.7168,33291,0.0038,0.53%,0.7167,0.7165,0.7196,5/3/2021
30-Apr-21,0.716,0.7164,0.7254,0.7149,0.7244,38618,-0.0085,-1.17%,0.7245,0.7236,0.7167,4/30/2021
29-Apr-21,0.7245,0.7249,0.7286,0.722,0.7255,41062,-0.0007,-0.10%,0.7268,0.7256,0.7228,4/29/2021
28-Apr-21,0.7252,0.7256,0.7267,0.7186,0.7205,36197,0.0045,0.62%,0.7201,0.72,0.7241,4/28/2021
27-Apr-21,0.7207,0.7211,0.7237,0.72,0.7235,32422,-0.0027,-0.37%,0.7228,0.7211,0.721,4/27/2021
26-Apr-21,0.7234,0.7238,0.7242,0.7168,0.7168,28130,0.0046,0.64%,0.7189,0.7212,0.723,4/26/2021
23-Apr-21,0.7188,0.7192,0.7203,0.7149,0.7175,32653,0.0016,0.22%,0.7152,0.7185,0.7179,4/23/2021
22-Apr-21,0.7172,0.7176,0.7213,0.7143,0.7213,38946,-0.004,-0.55%,0.7202,0.7187,0.7166,4/22/2021
21-Apr-21,0.7212,0.7216,0.7218,0.7161,0.7174,35181,0.0039,0.54%,0.7164,0.7178,0.721,4/21/2021
20-Apr-21,0.7173,0.7178,0.7229,0.7163,0.7182,37836,-0.0007,-0.10%,0.7189,0.7219,0.7184,4/20/2021
19-Apr-21,0.718,0.7185,0.7197,0.712,0.7143,36599,0.0039,0.55%,0.7124,0.7172,0.7172,4/19/2021
16-Apr-21,0.7141,0.7145,0.7178,0.713,0.7168,33064,-0.0028,-0.39%,0.7173,0.716,0.7134,4/16/2021
15-Apr-21,0.7169,0.7173,0.718,0.7134,0.7138,35977,0.0031,0.43%,0.7138,0.7175,0.7163,4/15/2021
14-Apr-21,0.7138,0.7142,0.715,0.7045,0.7053,37936,0.0087,1.23%,0.7059,0.7092,0.7146,4/14/2021
13-Apr-21,0.7051,0.7055,0.7059,0.7002,0.7028,35935,0.0023,0.33%,0.7031,0.7017,0.7036,4/13/2021
12-Apr-21,0.7028,0.7032,0.7049,0.7012,0.7024,35194,-0.0001,-0.01%,0.7034,0.7028,0.7027,4/12/2021
