Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Bid%Chg,USDCHF00H= CHT,USDCHF08H= CHT,USDCHF16H= CHT,Date
10-May-21,0.9013,0.9017,0.9023,0.8995,0.9014,7201,0.0003,0.03%,0.9003,0.9008,0.8985,5/10/2021
7-May-21,0.901,0.9013,0.9093,0.9003,0.9071,33142,-0.006,-0.66%,0.9075,0.9082,0.9009,5/7/2021
6-May-21,0.907,0.9074,0.9145,0.9068,0.9129,29840,-0.0058,-0.64%,0.9131,0.911,0.9094,5/6/2021
5-May-21,0.9128,0.9132,0.9164,0.912,0.9138,27602,-0.0007,-0.08%,0.9136,0.916,0.9128,5/5/2021
4-May-21,0.9135,0.9139,0.916,0.9101,0.9106,34266,0.0026,0.29%,0.9112,0.9144,0.9135,5/4/2021
3-May-21,0.9109,0.9113,0.9147,0.9091,0.9127,27570,-0.0024,-0.26%,0.9129,0.913,0.9117,5/3/2021
30-Apr-21,0.9133,0.9137,0.914,0.9077,0.9087,44328,0.005,0.55%,0.9088,0.909,0.9126,4/30/2021
29-Apr-21,0.9083,0.9087,0.9119,0.9078,0.9099,32077,-0.0011,-0.12%,0.9089,0.9105,0.9097,4/29/2021
28-Apr-21,0.9094,0.9098,0.9182,0.9086,0.9132,33369,-0.004,-0.44%,0.914,0.916,0.9123,4/28/2021
27-Apr-21,0.9134,0.9135,0.9171,0.9121,0.9142,30352,-0.0005,-0.05%,0.9143,0.9159,0.9133,4/27/2021
26-Apr-21,0.9139,0.9142,0.9165,0.912,0.9134,29258,0.0005,0.05%,0.9138,0.914,0.9144,4/26/2021
23-Apr-21,0.9134,0.9138,0.9179,0.9126,0.917,28304,-0.0032,-0.35%,0.9171,0.9159,0.9151,4/23/2021
22-Apr-21,0.9166,0.9169,0.919,0.9142,0.9171,30547,-0.0003,-0.03%,0.9166,0.9147,0.9181,4/22/2021
21-Apr-21,0.9169,0.9173,0.9195,0.9151,0.9161,29535,0.0011,0.12%,0.9159,0.9175,0.9166,4/21/2021
20-Apr-21,0.9158,0.9161,0.9168,0.9133,0.9146,30114,0.0008,0.09%,0.9149,0.9143,0.9145,4/20/2021
19-Apr-21,0.915,0.9153,0.9215,0.9127,0.9193,30144,-0.005,-0.54%,0.9204,0.9164,0.9154,4/19/2021
16-Apr-21,0.92,0.9203,0.9235,0.9178,0.9228,29605,-0.0026,-0.28%,0.9219,0.9181,0.9195,4/16/2021
15-Apr-21,0.9226,0.923,0.9245,0.9205,0.9225,32204,0.0002,0.02%,0.9227,0.9228,0.9226,4/15/2021
14-Apr-21,0.9224,0.9228,0.9234,0.9185,0.9209,30043,0.0016,0.17%,0.9203,0.9204,0.9226,4/14/2021
13-Apr-21,0.9208,0.9212,0.9259,0.9196,0.9225,44424,-0.0016,-0.17%,0.9222,0.9244,0.9212,4/13/2021
12-Apr-21,0.9224,0.9228,0.9267,0.9211,0.9262,29855,-0.0024,-0.26%,0.9255,0.9253,0.9227,4/12/2021
9-Apr-21,0.9248,0.9252,0.9281,0.9235,0.9247,26885,0.0001,0.01%,0.9242,0.9248,0.9248,4/9/2021
8-Apr-21,0.9247,0.9251,0.9302,0.923,0.9293,27091,-0.0047,-0.51%,0.9294,0.9281,0.9248,4/8/2021
7-Apr-21,0.9294,0.9298,0.9317,0.9266,0.9308,43267,-0.0014,-0.15%,0.9308,0.9299,0.9273,4/7/2021
6-Apr-21,0.9308,0.9312,0.9395,0.9301,0.9363,29395,-0.0056,-0.60%,0.936,0.937,0.9324,4/6/2021
5-Apr-21,0.9364,0.9368,0.9439,0.9352,0.9423,20887,-0.0057,-0.61%,0.9419,0.9429,0.9358,4/5/2021
2-Apr-21,0.9421,0.9425,0.9434,0.9403,0.9421,16710,0.0001,0.01%,0.9421,0.9412,0.9418,4/2/2021
1-Apr-21,0.942,0.9424,0.9472,0.9403,0.9433,29572,-0.0014,-0.15%,0.9439,0.9453,0.9408,4/1/2021
31-Mar-21,0.9434,0.9438,0.9458,0.9402,0.942,26681,0.0014,0.15%,0.9418,0.9421,0.9418,3/31/2021
30-Mar-21,0.942,0.9424,0.9438,0.9383,0.9393,22927,0.003,0.32%,0.9389,0.9419,0.9427,3/30/2021
29-Mar-21,0.939,0.9396,0.9405,0.9369,0.9388,25213,0.0001,0.01%,0.9396,0.9377,0.9381,3/29/2021
26-Mar-21,0.9389,0.9393,0.9417,0.9381,0.9399,25688,-0.0011,-0.12%,0.9396,0.9406,0.9397,3/26/2021
25-Mar-21,0.94,0.9403,0.9402,0.9348,0.9355,27320,0.0045,0.48%,0.9359,0.9367,0.9393,3/25/2021
24-Mar-21,0.9355,0.9357,0.9369,0.9336,0.9337,25647,0.0017,0.18%,0.9344,0.9361,0.9353,3/24/2021
23-Mar-21,0.9338,0.9342,0.9346,0.9227,0.9233,25479,0.0108,1.17%,0.9232,0.928,0.9327,3/23/2021
22-Mar-21,0.923,0.9234,0.9309,0.9221,0.9295,28962,-0.0062,-0.67%,0.93,0.9299,0.923,3/22/2021
19-Mar-21,0.9292,0.9296,0.9319,0.9249,0.927,28859,0.0023,0.25%,0.9273,0.9257,0.9299,3/19/2021
18-Mar-21,0.9269,0.9273,0.9304,0.9217,0.9225,37283,0.0045,0.49%,0.9222,0.9259,0.928,3/18/2021
17-Mar-21,0.9224,0.9228,0.9295,0.9212,0.9244,31737,-0.0021,-0.23%,0.9249,0.9268,0.9275,3/17/2021
16-Mar-21,0.9245,0.9249,0.9287,0.9241,0.9278,28310,-0.0027,-0.29%,0.9277,0.9284,0.9259,3/16/2021
15-Mar-21,0.9272,0.9276,0.9312,0.9265,0.9289,26311,-0.0025,-0.27%,0.9293,0.9307,0.9282,3/15/2021
12-Mar-21,0.9297,0.9301,0.9324,0.9238,0.9247,29682,0.0055,0.60%,0.9248,0.9282,0.929,3/12/2021
11-Mar-21,0.9242,0.9246,0.9308,0.9233,0.9296,28758,-0.0053,-0.57%,0.9299,0.929,0.9256,3/11/2021
10-Mar-21,0.9295,0.9299,0.9322,0.9273,0.9281,29773,0.002,0.22%,0.928,0.9285,0.9313,3/10/2021
9-Mar-21,0.9275,0.9279,0.9375,0.9274,0.9366,30259,-0.009,-0.96%,0.9362,0.934,0.9302,3/9/2021
8-Mar-21,0.9365,0.9369,0.9369,0.9287,0.9294,26071,0.0056,0.60%,0.9299,0.9329,0.9354,3/8/2021
5-Mar-21,0.9309,0.9313,0.9318,0.9256,0.9285,37264,0.0024,0.26%,0.9293,0.9297,0.9312,3/5/2021
