Currency Portfolio,SD_A,SD_B,Correlation,Weight_A,Weight_B,SD_Portfolio
"EURUSD, EURAUD",0.0036196781081826467,0.004065597151175918,-0.111855067,0.551574707324434,0.44742529297938755,0.002546092080162411
"EURUSD, EURCAD",0.0036196781081826467,0.0038823618277154096,0.220794951,0.5443209826137321,0.45467901741865213,0.0029212701703816247
"EURUSD, EURCHF",0.0036196781081826467,0.002256287586533995,-0.032263099,0.28573406456975736,0.7132659354627184,0.0018847427782822802
"EURUSD, EURGBP",0.0036196781081826467,0.0031450157923897594,0.268619817,0.4043801585498646,0.5946206342781055,0.002666518697018821
"EURUSD, EURJPY",0.0036196781081826467,0.003256026254424975,0.479468303,0.39617679889970825,0.6028232033400669,0.002933975699261709
"EURUSD, EURNZD",0.0036196781081826467,0.004604539279170059,-0.078487097,0.609082864753269,0.38991713524871147,0.002731795481424156
"EURUSD, AUDCAD",0.0036196781081826467,0.0039372166273831145,0.361395713,0.5649906505848085,0.4340093494844205,0.003102935439886364
"EURUSD, AUDCHF",0.0036196781081826467,0.004929714412086799,0.095236967,0.6640144793616544,0.33498552065664394,0.0030430220870234326
"EURUSD, AUDJPY",0.0036196781081826467,0.005240560682396569,0.404183377,0.7838284859885167,0.21517151401210205,0.0034507197966651367
"EURUSD, AUDNZD",0.0036196781081826467,0.0026594863002857142,-0.041997402,0.35599464353534493,0.6430053566977123,0.00209754252113706
"EURUSD, AUDUSD",0.0036196781081826467,0.005694980352076298,0.753755019,0.8989961346904023,0.10000390437232326,0.003702320895715589
"EURUSD, CADCHF",0.0036196781081826467,0.004572709310072677,-0.224765196,0.5935741682654712,0.40542583176525465,0.002502522766612043
"EURUSD, CADJPY",0.0036196781081826467,0.005006462273863392,0.157530665,0.6835829485802188,0.31541705185082236,0.003138005891000366
"EURUSD, CHFJPY",0.0036196781081826467,0.003540047728632148,0.47948505,0.47812476546664034,0.5208752351751204,0.0030749787513329745
"EURUSD, GBPAUD",0.0036196781081826467,0.0037629093399284635,-0.357212743,0.5138194120711014,0.48518058863453695,0.002089587288046606
"EURUSD, GBPCAD",0.0036196781081826467,0.0036677072192094467,-0.013611877,0.5059978811615021,0.49300211957277573,0.002556160398045934
"EURUSD, GBPCHF",0.0036196781081826467,0.003926983303523448,-0.250107428,0.5320202694018971,0.4669797309499994,0.0023032350928273914
"EURUSD, GBPJPY",0.0036196781081826467,0.004258289372084055,0.168733837,0.5960245952019151,0.4029754047981142,0.0029746251266317826
"EURUSD, GBPNZD",0.0036196781081826467,0.004486613738405376,-0.309054803,0.5806298421438632,0.41837015788780796,0.002345641985697001
"EURUSD, GBPUSD",0.0036196781081826467,0.004008065275354046,0.640445403,0.639309894640031,0.3596901060113027,0.0034215001043393146
"EURUSD, NZDCAD",0.0036196781081826467,0.004623473598561431,-0.233359163,0.5972690080274122,0.4017309939374706,0.0024999374874121105
"EURUSD, NZDCHF",0.0036196781081826467,0.0053085813137106206,-0.19052822,0.6544909428189057,0.34450906169383366,0.002702981501741643
"EURUSD, NZDJPY",0.0036196781081826467,0.006011406094778575,0.353803006,0.8395085610327688,0.15949143903732266,0.0034949708384951856
"EURUSD, NZDUSD",0.0036196781081826467,0.00631840931500294,0.650545405,0.8989999839878404,0.10000001937843445,0.003696411731794353
"EURUSD, USDCAD",0.0036196781081826467,0.00428429729945368,-0.579976694,0.5525663117170047,0.44643368829514635,0.0017947888941576792
"EURUSD, USDCHF",0.0036196781081826467,0.00410165576752468,-0.862756698,0.5329620398120567,0.4660379602349036,0.0010062376524005835
"EURUSD, USDJPY",0.0036196781081826467,0.0032627106971484447,-0.552581432,0.4661305194088422,0.5328694807947806,0.0016209832493337738
"EURAUD, EURCAD",0.004065597151175918,0.0038823618277154096,0.484348101,0.45489758980892014,0.5441024102469254,0.0034157110438121905
"EURAUD, EURCHF",0.004065597151175918,0.002256287586533995,0.044486098,0.22487907977049,0.7741209203059454,0.0020071656974774573
"EURAUD, EURGBP",0.004065597151175918,0.0031450157923897594,0.466746017,0.27057965876209206,0.7284203424648086,0.002968311200374774
"EURAUD, EURJPY",0.004065597151175918,0.003256026254424975,-0.064686411,0.39619042286246814,0.6028096086821276,0.0024572229571002626
"EURAUD, EURNZD",0.004065597151175918,0.004604539279170059,0.787360363,0.7823702949597804,0.21662970504401852,0.004013567439815012
"EURAUD, AUDCAD",0.004065597151175918,0.0039372166273831145,-0.491504263,0.48874553362207335,0.5102544663783306,0.002015004575006516
"EURAUD, AUDCHF",0.004065597151175918,0.004929714412086799,-0.838199955,0.5516751067893205,0.4473248934461407,0.0012656784625088284
"EURAUD, AUDJPY",0.004065597151175918,0.005240560682396569,-0.730986176,0.5721711430746804,0.4268288571009291,0.001675568486255867
"EURAUD, AUDNZD",0.004065597151175918,0.0026594863002857142,0.087488014,0.2819538111424298,0.7170461904402138,0.0023093451091463933
"EURAUD, AUDUSD",0.004065597151175918,0.005694980352076298,-0.729342571,0.5955280036518308,0.4034719964050343,0.001739748606048635
"EURAUD, CADCHF",0.004065597151175918,0.004572709310072677,-0.382025475,0.5418798585013695,0.4571201425490674,0.002388365198320406
"EURAUD, CADJPY",0.004065597151175918,0.005006462273863392,-0.340304802,0.576389723324414,0.4226102773384206,0.0025677634378383383
"EURAUD, CHFJPY",0.004065597151175918,0.003540047728632148,-0.072398383,0.43539452366644493,0.5636054765053611,0.002569588969731168
"EURAUD, GBPAUD",0.004065597151175918,0.0037629093399284635,0.550374068,0.41142623280074087,0.5875737688730956,0.0034288869454696972
"EURAUD, GBPCAD",0.004065597151175918,0.0036677072192094467,0.073866216,0.4441775407794132,0.5548224593593725,0.0028186682032998885
"EURAUD, GBPCHF",0.004065597151175918,0.003926983303523448,-0.402270482,0.48716129784355355,0.5118387023408775,0.002181731900397281
"EURAUD, GBPJPY",0.004065597151175918,0.004258289372084055,-0.402219514,0.5160029082107722,0.4829970961615437,0.0022716170276226313
